# Data taken from Figs. 10.1 and 10.3 of 40 years of evolution: Darwin's finches on Daphne Major Island by Grant and Grant. Accessed from the Dryad repository, http://dx.doi.org/10.5061/dryad.g6g3h, and munged into this CSV file.
band,species,beak length (mm),beak depth (mm),year
10232,fortis,10.87,9.04,1987
4936,fortis,10.0,9.05,1987
5587,fortis,10.35,9.05,1987
14741,fortis,11.04,9.06,1987
13486,fortis,9.98,9.07,1987
13579,fortis,10.03,9.07,1987
15822,fortis,10.49,9.07,1987
15412,fortis,10.5,9.07,1987
15153,fortis,10.57,9.07,1987
15055,fortis,10.8,9.07,1987
14669,fortis,11.34,9.07,1987
15863,fortis,11.69,9.07,1987
10102,fortis,10.98,9.08,1987
14883,fortis,11.51,9.08,1987
13522,fortis,9.66,9.09,1987
10685,fortis,10.46,9.09,1987
14872,fortis,9.7,9.1,1987
15333,fortis,10.5,9.1,1987
14765,fortis,10.6,9.1,1987
15389,fortis,10.83,9.1,1987
13932,fortis,10.9,9.1,1987
13365,fortis,11.3,9.1,1987
15066,fortis,11.4,9.1,1987
14723,fortis,12.0,9.1,1987
14659,fortis,10.24,9.11,1987
16111,fortis,10.24,9.11,1987
15011,fortis,10.34,9.11,1987
15047,fortis,10.35,9.11,1987
15781,fortis,10.89,9.11,1987
14826,fortis,10.9,9.11,1987
15499,fortis,11.04,9.11,1987
15065,fortis,11.09,9.11,1987
15832,fortis,11.14,9.11,1987
15934,fortis,11.14,9.11,1987
14784,fortis,11.34,9.11,1987
15611,fortis,11.34,9.11,1987
15325,fortis,11.54,9.11,1987
14672,fortis,10.54,9.12,1987
14347,fortis,10.63,9.12,1987
15105,fortis,10.85,9.12,1987
15233,fortis,10.85,9.12,1987
14838,fortis,10.95,9.12,1987
15359,fortis,11.04,9.12,1987
5828,fortis,11.25,9.12,1987
14824,fortis,11.25,9.12,1987
15048,fortis,10.46,9.13,1987
15321,fortis,11.96,9.13,1987
5817,fortis,10.49,9.14,1987
13690,fortis,10.73,9.14,1987
5507,fortis,11.07,9.14,1987
5858,fortis,10.45,9.15,1987
16089,fortis,10.65,9.15,1987
5718,fortis,10.71,9.15,1987
15408,fortis,11.2,9.15,1987
14692,fortis,11.25,9.15,1987
15027,fortis,10.37,9.17,1987
14518,fortis,10.72,9.17,1987
13389,fortis,12.22,9.19,1987
14871,fortis,9.5,9.2,1987
14041,fortis,10.0,9.2,1987
15126,fortis,10.2,9.2,1987
15369,fortis,10.4,9.2,1987
5826,fortis,10.55,9.2,1987
14100,fortis,10.6,9.2,1987
15125,fortis,10.6,9.2,1987
5927,fortis,10.7,9.2,1987
10213,fortis,10.7,9.2,1987
14062,fortis,10.7,9.2,1987
14879,fortis,10.7,9.2,1987
14854,fortis,10.75,9.2,1987
15056,fortis,10.8,9.2,1987
14652,fortis,10.9,9.2,1987
15450,fortis,10.9,9.2,1987
15601,fortis,10.9,9.2,1987
10023,fortis,11.0,9.2,1987
14921,fortis,11.3,9.2,1987
15926,fortis,11.9,9.2,1987
15151,fortis,10.24,9.21,1987
15263,fortis,10.39,9.21,1987
2833,fortis,10.63,9.21,1987
15707,fortis,10.84,9.21,1987
15454,fortis,11.14,9.21,1987
15409,fortis,11.24,9.21,1987
15985,fortis,11.24,9.21,1987
15215,fortis,11.34,9.21,1987
15261,fortis,11.34,9.21,1987
15903,fortis,12.14,9.21,1987
5725,fortis,11.03,9.22,1987
15772,fortis,11.04,9.22,1987
14605,fortis,11.2,9.22,1987
14696,fortis,11.06,9.23,1987
14701,fortis,11.16,9.23,1987
2737,fortis,10.21,9.24,1987
14124,fortis,10.97,9.24,1987
13708,fortis,11.83,9.24,1987
14732,fortis,10.9,9.25,1987
15710,fortis,11.0,9.25,1987
15727,fortis,11.0,9.25,1987
14679,fortis,10.5,9.27,1987
15396,fortis,10.63,9.27,1987
14956,fortis,10.85,9.27,1987
15373,fortis,11.45,9.27,1987
14901,fortis,10.1,9.3,1987
15247,fortis,10.3,9.3,1987
2738,fortis,10.4,9.3,1987
14279,fortis,10.5,9.3,1987
15399,fortis,10.6,9.3,1987
15130,fortis,10.9,9.3,1987
15174,fortis,10.9,9.3,1987
10183,fortis,11.0,9.3,1987
14471,fortis,11.0,9.3,1987
15289,fortis,11.15,9.3,1987
15428,fortis,11.15,9.3,1987
2537,fortis,11.3,9.3,1987
2666,fortis,12.81,9.3,1987
14896,fortis,10.09,9.31,1987
15971,fortis,10.84,9.31,1987
15189,fortis,10.94,9.31,1987
15500,fortis,11.04,9.31,1987
15820,fortis,11.04,9.31,1987
15474,fortis,11.14,9.31,1987
15938,fortis,11.14,9.31,1987
15987,fortis,11.14,9.31,1987
15463,fortis,11.24,9.31,1987
15746,fortis,11.24,9.31,1987
15801,fortis,11.24,9.31,1987
15739,fortis,11.34,9.31,1987
14643,fortis,10.95,9.32,1987
15310,fortis,10.66,9.33,1987
14770,fortis,10.96,9.33,1987
14792,fortis,10.96,9.33,1987
15191,fortis,11.56,9.33,1987
14744,fortis,10.4,9.35,1987
15950,fortis,10.6,9.35,1987
15788,fortis,10.75,9.35,1987
15376,fortis,10.9,9.35,1987
10716,fortis,10.73,9.37,1987
15155,fortis,11.2,9.37,1987
14874,fortis,9.9,9.4,1987
15326,fortis,10.0,9.4,1987
14629,fortis,10.2,9.4,1987
15238,fortis,10.4,9.4,1987
14705,fortis,10.5,9.4,1987
15838,fortis,11.1,9.4,1987
10826,fortis,11.2,9.4,1987
14171,fortis,11.3,9.4,1987
15346,fortis,11.8,9.4,1987
15426,fortis,10.34,9.41,1987
15633,fortis,11.24,9.41,1987
15709,fortis,11.44,9.41,1987
15904,fortis,11.54,9.41,1987
15323,fortis,12.04,9.41,1987
15152,fortis,10.94,9.42,1987
15605,fortis,11.1,9.42,1987
14546,fortis,11.67,9.42,1987
14923,fortis,13.57,9.42,1987
15129,fortis,10.61,9.43,1987
15165,fortis,10.66,9.43,1987
14641,fortis,10.96,9.43,1987
14794,fortis,10.96,9.43,1987
13409,fortis,11.21,9.43,1987
15110,fortis,11.55,9.43,1987
14884,fortis,11.96,9.43,1987
10330,fortis,10.67,9.44,1987
2658,fortis,10.8,9.44,1987
13552,fortis,11.3,9.44,1987
15482,fortis,10.8,9.45,1987
14900,fortis,11.0,9.45,1987
5635,fortis,11.51,9.45,1987
15929,fortis,11.6,9.45,1987
13704,fortis,10.67,9.47,1987
14766,fortis,10.77,9.47,1987
14940,fortis,11.3,9.47,1987
15308,fortis,11.55,9.47,1987
14823,fortis,11.6,9.47,1987
14722,fortis,12.15,9.47,1987
15613,fortis,10.4,9.5,1987
13644,fortis,10.5,9.5,1987
15360,fortis,10.5,9.5,1987
15939,fortis,10.5,9.5,1987
16168,fortis,10.5,9.5,1987
15395,fortis,10.8,9.5,1987
15885,fortis,10.8,9.5,1987
10081,fortis,10.9,9.5,1987
15648,fortis,10.9,9.5,1987
15734,fortis,10.9,9.5,1987
15398,fortis,11.0,9.5,1987
10670,fortis,11.1,9.5,1987
15041,fortis,11.1,9.5,1987
2862,fortis,11.15,9.5,1987
14675,fortis,11.2,9.5,1987
14687,fortis,11.5,9.5,1987
14957,fortis,11.8,9.5,1987
15447,fortis,12.9,9.5,1987
15042,fortis,11.04,9.51,1987
15028,fortis,11.14,9.51,1987
15642,fortis,11.14,9.51,1987
15329,fortis,11.24,9.51,1987
15660,fortis,11.24,9.51,1987
15714,fortis,11.24,9.51,1987
15767,fortis,11.64,9.51,1987
15316,fortis,11.84,9.51,1987
14948,fortis,10.7,9.52,1987
14621,fortis,11.2,9.52,1987
14720,fortis,12.0,9.52,1987
14937,fortis,11.36,9.53,1987
15131,fortis,11.86,9.53,1987
15616,fortis,12.16,9.53,1987
15840,fortis,10.85,9.55,1987
14893,fortis,11.0,9.55,1987
14958,fortis,11.29,9.56,1987
14676,fortis,11.0,9.57,1987
14839,fortis,11.94,9.57,1987
15370,fortis,12.25,9.57,1987
5335,fortis,11.96,9.59,1987
10751,fortis,10.0,9.6,1987
14713,fortis,10.4,9.6,1987
14615,fortis,10.7,9.6,1987
14825,fortis,10.7,9.6,1987
14040,fortis,10.8,9.6,1987
16117,fortis,10.8,9.6,1987
13075,fortis,10.85,9.6,1987
15339,fortis,10.9,9.6,1987
2847,fortis,11.0,9.6,1987
14916,fortis,11.1,9.6,1987
15390,fortis,11.15,9.6,1987
4843,fortis,11.17,9.6,1987
14492,fortis,11.2,9.6,1987
5560,fortis,11.3,9.6,1987
14678,fortis,11.5,9.6,1987
14866,fortis,11.7,9.6,1987
15612,fortis,11.9,9.6,1987
15158,fortis,12.1,9.6,1987
14793,fortis,9.14,9.61,1987
10194,fortis,11.02,9.61,1987
15949,fortis,11.04,9.61,1987
15475,fortis,11.24,9.61,1987
15722,fortis,11.24,9.61,1987
15210,fortis,11.44,9.61,1987
15839,fortis,11.44,9.61,1987
15908,fortis,11.44,9.61,1987
15049,fortis,11.54,9.61,1987
15764,fortis,11.54,9.61,1987
15667,fortis,10.84,9.62,1987
15004,fortis,10.5,9.63,1987
15293,fortis,10.86,9.63,1987
14774,fortis,11.06,9.63,1987
14842,fortis,11.15,9.63,1987
15969,fortis,11.26,9.63,1987
14790,fortis,11.36,9.63,1987
14887,fortis,12.16,9.63,1987
14677,fortis,11.6,9.65,1987
14710,fortis,11.65,9.65,1987
4378,fortis,10.64,9.66,1987
5586,fortis,10.2,9.67,1987
15197,fortis,11.04,9.67,1987
10550,fortis,11.88,9.69,1987
14917,fortis,10.3,9.7,1987
14816,fortis,10.7,9.7,1987
4899,fortis,10.87,9.7,1987
4911,fortis,11.0,9.7,1987
15196,fortis,11.0,9.7,1987
15607,fortis,11.0,9.7,1987
16173,fortis,11.13,9.7,1987
14751,fortis,11.2,9.7,1987
15113,fortis,11.2,9.7,1987
14688,fortis,11.3,9.7,1987
13807,fortis,11.4,9.7,1987
15001,fortis,11.4,9.7,1987
15239,fortis,11.04,9.71,1987
15212,fortis,11.14,9.71,1987
15753,fortis,11.14,9.71,1987
10228,fortis,11.24,9.71,1987
15644,fortis,11.24,9.71,1987
14609,fortis,11.29,9.71,1987
15655,fortis,10.34,9.72,1987
14617,fortis,11.14,9.72,1987
13837,fortis,11.58,9.72,1987
15172,fortis,11.84,9.72,1987
14670,fortis,12.44,9.72,1987
14736,fortis,10.96,9.73,1987
15012,fortis,11.46,9.73,1987
14807,fortis,11.67,9.73,1987
13945,fortis,10.43,9.74,1987
14412,fortis,10.73,9.74,1987
3569,fortis,10.94,9.74,1987
15857,fortis,11.94,9.76,1987
15478,fortis,11.1,9.77,1987
15930,fortis,12.05,9.77,1987
14739,fortis,10.81,9.78,1987
14633,fortis,11.29,9.78,1987
14674,fortis,10.5,9.8,1987
13201,fortis,10.7,9.8,1987
5026,fortis,10.9,9.8,1987
15193,fortis,10.9,9.8,1987
14746,fortis,11.0,9.8,1987
14963,fortis,11.0,9.8,1987
14971,fortis,11.0,9.8,1987
15385,fortis,11.1,9.8,1987
15015,fortis,11.2,9.8,1987
5505,fortis,11.4,9.8,1987
15621,fortis,11.6,9.8,1987
14987,fortis,11.7,9.8,1987
14820,fortis,11.8,9.8,1987
14889,fortis,11.8,9.8,1987
5504,fortis,11.9,9.8,1987
15302,fortis,12.3,9.8,1987
14942,fortis,11.19,9.81,1987
14856,fortis,11.24,9.81,1987
14849,fortis,11.34,9.81,1987
15203,fortis,11.49,9.81,1987
15670,fortis,11.64,9.81,1987
15371,fortis,11.74,9.81,1987
15856,fortis,11.74,9.81,1987
15377,fortis,10.94,9.82,1987
15979,fortis,11.04,9.82,1987
14796,fortis,11.15,9.82,1987
15145,fortis,11.3,9.82,1987
15058,fortis,10.96,9.83,1987
15692,fortis,11.16,9.83,1987
15033,fortis,11.26,9.83,1987
15255,fortis,12.1,9.83,1987
14620,fortis,10.7,9.85,1987
13781,fortis,12.3,9.85,1987
5625,fortis,10.94,9.86,1987
14783,fortis,11.39,9.86,1987
15053,fortis,12.01,9.86,1987
15150,fortis,10.94,9.87,1987
5921,fortis,11.2,9.87,1987
15358,fortis,11.34,9.87,1987
15383,fortis,11.7,9.87,1987
14886,fortis,11.86,9.88,1987
5570,fortis,10.8,9.9,1987
13975,fortis,11.0,9.9,1987
14930,fortis,11.2,9.9,1987
15433,fortis,11.3,9.9,1987
5400,fortis,11.5,9.9,1987
15473,fortis,11.5,9.9,1987
15124,fortis,11.7,9.9,1987
5614,fortis,11.8,9.9,1987
10305,fortis,11.82,9.9,1987
15148,fortis,11.9,9.9,1987
15849,fortis,12.0,9.9,1987
15665,fortis,11.14,9.91,1987
14955,fortis,11.74,9.91,1987
14721,fortis,11.84,9.91,1987
15682,fortis,12.24,9.91,1987
4721,fortis,10.95,9.92,1987
14660,fortis,11.14,9.92,1987
15355,fortis,11.84,9.92,1987
15653,fortis,11.84,9.92,1987
14711,fortis,12.05,9.92,1987
15281,fortis,12.17,9.92,1987
4190,fortis,11.04,9.93,1987
15650,fortis,11.06,9.93,1987
15112,fortis,11.16,9.93,1987
14974,fortis,11.46,9.93,1987
10080,fortis,11.1,9.95,1987
14943,fortis,11.85,9.95,1987
13760,fortis,10.67,9.96,1987
14689,fortis,11.2,9.96,1987
14117,fortis,10.6,10.0,1987
15674,fortis,10.6,10.0,1987
10679,fortis,10.9,10.0,1987
5963,fortis,11.0,10.0,1987
14818,fortis,11.0,10.0,1987
15749,fortis,11.0,10.0,1987
14781,fortis,11.1,10.0,1987
13231,fortis,11.13,10.0,1987
14174,fortis,11.2,10.0,1987
2776,fortis,11.3,10.0,1987
15140,fortis,11.3,10.0,1987
14745,fortis,11.5,10.0,1987
15951,fortis,11.5,10.0,1987
15291,fortis,11.7,10.0,1987
14752,fortis,11.9,10.0,1987
14772,fortis,12.0,10.0,1987
15603,fortis,12.8,10.0,1987
15062,fortis,11.44,10.01,1987
15003,fortis,11.94,10.01,1987
14961,fortis,11.84,10.02,1987
14346,fortis,11.93,10.02,1987
15073,fortis,10.66,10.03,1987
5860,fortis,11.55,10.05,1987
15681,fortis,12.29,10.06,1987
14817,fortis,11.5,10.07,1987
14618,fortis,11.16,10.08,1987
13300,fortis,11.06,10.09,1987
15183,fortis,11.2,10.1,1987
13413,fortis,11.3,10.1,1987
15897,fortis,11.6,10.1,1987
15249,fortis,11.7,10.1,1987
15199,fortis,11.34,10.11,1987
15920,fortis,11.44,10.11,1987
15099,fortis,11.49,10.11,1987
14865,fortis,11.74,10.11,1987
14333,fortis,11.03,10.12,1987
5789,fortis,11.28,10.12,1987
15309,fortis,11.45,10.12,1987
15317,fortis,11.84,10.12,1987
14895,fortis,10.96,10.13,1987
14738,fortis,11.26,10.13,1987
14926,fortis,12.66,10.13,1987
15448,fortis,13.96,10.13,1987
14812,fortis,11.05,10.15,1987
5960,fortis,11.4,10.15,1987
15461,fortis,11.44,10.16,1987
4677,fortis,11.02,10.17,1987
13595,fortis,11.4,10.17,1987
14656,fortis,11.9,10.17,1987
14657,fortis,10.25,10.2,1987
14992,fortis,11.0,10.2,1987
14777,fortis,11.6,10.2,1987
15304,fortis,12.3,10.2,1987
14619,fortis,11.54,10.21,1987
14753,fortis,11.54,10.21,1987
14650,fortis,11.74,10.21,1987
15315,fortis,11.74,10.21,1987
14627,fortis,10.86,10.23,1987
15295,fortis,11.96,10.23,1987
10658,fortis,11.15,10.27,1987
4946,fortis,11.42,10.27,1987
14655,fortis,11.33,10.29,1987
5731,fortis,10.8,10.3,1987
5559,fortis,11.0,10.3,1987
15338,fortis,11.1,10.3,1987
10622,fortis,11.3,10.3,1987
2984,fortis,11.4,10.3,1987
14851,fortis,11.4,10.3,1987
5060,fortis,11.8,10.3,1987
14003,fortis,11.8,10.32,1987
5844,fortis,11.83,10.32,1987
14805,fortis,11.06,10.33,1987
3527,fortis,11.79,10.33,1987
14919,fortis,11.87,10.33,1987
15830,fortis,12.27,10.33,1987
14468,fortis,11.83,10.34,1987
5847,fortis,11.93,10.34,1987
2753,fortis,10.89,10.35,1987
15471,fortis,11.6,10.35,1987
15609,fortis,11.8,10.35,1987
15444,fortis,12.85,10.35,1987
15025,fortis,11.29,10.37,1987
14873,fortis,11.6,10.4,1987
15101,fortis,11.7,10.4,1987
15458,fortis,11.9,10.4,1987
15037,fortis,12.0,10.4,1987
15171,fortis,12.0,10.4,1987
14925,fortis,12.75,10.4,1987
15411,fortis,12.24,10.41,1987
14616,fortis,11.65,10.42,1987
14922,fortis,11.76,10.43,1987
5905,fortis,11.86,10.43,1987
4993,fortis,11.44,10.45,1987
14662,fortis,11.0,10.5,1987
5904,fortis,11.1,10.5,1987
10181,fortis,11.1,10.5,1987
15702,fortis,11.7,10.5,1987
5543,fortis,11.8,10.5,1987
720,fortis,12.2,10.5,1987
15413,fortis,11.54,10.51,1987
15392,fortis,11.64,10.51,1987
15947,fortis,11.94,10.51,1987
15955,fortis,12.34,10.51,1987
15021,fortis,11.0,10.52,1987
14625,fortis,11.84,10.52,1987
14651,fortis,11.84,10.52,1987
14848,fortis,11.36,10.53,1987
15147,fortis,11.46,10.53,1987
15980,fortis,11.56,10.53,1987
4876,fortis,10.34,10.55,1987
1469,fortis,11.73,10.56,1987
15372,fortis,12.25,10.57,1987
5649,fortis,11.55,10.59,1987
3393,fortis,11.7,10.6,1987
15216,fortis,11.9,10.6,1987
15688,fortis,11.54,10.61,1987
5821,fortis,12.32,10.62,1987
14870,fortis,11.95,10.67,1987
13407,fortis,11.27,10.68,1987
14993,fortis,12.3,10.7,1987
14663,fortis,11.65,10.72,1987
14991,fortis,12.4,10.72,1987
15170,fortis,12.84,10.72,1987
14804,fortis,11.76,10.73,1987
1774,fortis,11.9,10.75,1987
14149,fortis,10.9,10.8,1987
14622,fortis,11.0,10.8,1987
15948,fortis,11.6,10.8,1987
2536,fortis,11.44,10.84,1987
14624,fortis,11.85,10.85,1987
2743,fortis,12.1,10.85,1987
5370,fortis,12.73,10.88,1987
14706,fortis,11.5,10.9,1987
15825,fortis,11.8,10.9,1987
10178,fortis,11.7,11.0,1987
15910,fortis,11.85,11.0,1987
15976,fortis,12.2,11.0,1987
14550,fortis,13.65,11.02,1987
13487,fortis,11.78,11.07,1987
14649,fortis,11.7,11.1,1987
4986,fortis,11.87,11.17,1987
15651,fortis,12.8,11.2,1987
15954,fortis,12.04,11.21,1987
15905,fortis,11.46,11.38,1987
14442,fortis,11.53,11.38,1987
14408,fortis,11.23,11.49,1987
15877,fortis,12.26,11.53,1987
5110,fortis,14.07,12.37,1987
3597,fortis,13.03,12.7,1987
15718,scandens,10.75,7.77,1987
5594,scandens,13.73,7.94,1987
15235,scandens,14.04,7.96,1987
15252,scandens,12.5,8.0,1987
15847,scandens,12.64,8.01,1987
15139,scandens,12.66,8.23,1987
15237,scandens,13.0,8.3,1987
4045,scandens,13.15,8.36,1987
8443,scandens,13.96,8.37,1987
15798,scandens,13.15,8.4,1987
14786,scandens,13.7,8.4,1987
364,scandens,14.0,8.4,1987
10001,scandens,13.43,8.41,1987
15119,scandens,14.0,8.5,1987
15676,scandens,14.9,8.5,1987
15476,scandens,13.6,8.6,1987
14576,scandens,13.8,8.6,1987
15419,scandens,14.9,8.6,1987
15635,scandens,13.94,8.61,1987
2733,scandens,14.81,8.67,1987
15751,scandens,12.5,8.7,1987
14834,scandens,13.75,8.7,1987
4109,scandens,14.0,8.7,1987
15901,scandens,14.5,8.7,1987
14830,scandens,14.7,8.7,1987
15086,scandens,14.05,8.72,1987
15986,scandens,14.17,8.72,1987
4223,scandens,15.07,8.77,1987
15725,scandens,11.5,8.8,1987
13554,scandens,13.5,8.8,1987
15407,scandens,13.87,8.8,1987
3425,scandens,14.9,8.8,1987
15704,scandens,12.34,8.81,1987
15102,scandens,14.34,8.81,1987
5582,scandens,15.07,8.87,1987
15121,scandens,14.01,8.88,1987
10770,scandens,12.86,8.89,1987
14755,scandens,13.6,8.9,1987
13555,scandens,13.8,8.9,1987
15765,scandens,13.85,8.9,1987
15243,scandens,13.9,8.9,1987
8441,scandens,14.1,8.9,1987
10067,scandens,14.1,8.9,1987
15406,scandens,14.2,8.9,1987
15234,scandens,14.3,8.9,1987
15608,scandens,14.9,8.9,1987
14758,scandens,13.84,8.91,1987
14835,scandens,14.09,8.91,1987
15882,scandens,14.05,8.92,1987
14787,scandens,14.15,8.93,1987
14727,scandens,14.25,8.93,1987
5351,scandens,13.6,8.95,1987
15859,scandens,14.57,8.95,1987
15721,scandens,11.89,8.96,1987
5663,scandens,13.8,8.97,1987
2543,scandens,14.21,8.97,1987
5013,scandens,14.76,8.99,1987
10394,scandens,12.07,9.0,1987
17548,scandens,13.9,9.0,1987
14647,scandens,14.1,9.0,1987
13548,scandens,14.3,9.0,1987
5345,scandens,14.95,9.0,1987
15760,scandens,14.34,9.01,1987
15685,scandens,13.84,9.02,1987
14731,scandens,14.04,9.02,1987
14906,scandens,14.14,9.02,1987
15330,scandens,12.56,9.03,1987
4577,scandens,15.14,9.04,1987
4744,scandens,14.35,9.05,1987
10984,scandens,14.85,9.05,1987
14759,scandens,14.04,9.06,1987
15639,scandens,14.2,9.1,1987
15090,scandens,14.3,9.1,1987
4221,scandens,14.5,9.1,1987
15422,scandens,14.5,9.1,1987
15441,scandens,14.6,9.1,1987
15736,scandens,15.0,9.1,1987
4683,scandens,13.6,9.13,1987
14768,scandens,14.65,9.13,1987
5375,scandens,14.03,9.14,1987
14843,scandens,14.16,9.18,1987
2554,scandens,13.83,9.2,1987
14995,scandens,14.2,9.2,1987
15638,scandens,14.35,9.2,1987
15837,scandens,14.45,9.2,1987
10002,scandens,14.64,9.21,1987
14584,scandens,15.04,9.21,1987
14730,scandens,13.9,9.22,1987
3458,scandens,14.34,9.24,1987
5911,scandens,14.53,9.24,1987
2760,scandens,14.2,9.25,1987
15812,scandens,14.85,9.25,1987
5367,scandens,15.1,9.25,1987
10174,scandens,15.2,9.25,1987
1645,scandens,13.5,9.26,1987
4090,scandens,14.95,9.26,1987
5576,scandens,13.83,9.28,1987
14975,scandens,13.95,9.28,1987
2877,scandens,15.09,9.28,1987
10206,scandens,13.43,9.3,1987
4778,scandens,13.7,9.3,1987
5322,scandens,14.0,9.3,1987
10207,scandens,14.15,9.3,1987
10740,scandens,14.75,9.3,1987
8450,scandens,14.9,9.3,1987
10517,scandens,15.0,9.3,1987
2758,scandens,13.56,9.32,1987
14729,scandens,14.26,9.33,1987
10743,scandens,13.83,9.34,1987
13527,scandens,14.53,9.34,1987
8444,scandens,14.84,9.34,1987
15738,scandens,15.0,9.35,1987
2445,scandens,13.76,9.37,1987
5931,scandens,13.9,9.37,1987
14728,scandens,14.29,9.37,1987
15615,scandens,14.63,9.37,1987
14646,scandens,14.3,9.38,1987
13526,scandens,13.6,9.4,1987
15343,scandens,14.4,9.4,1987
10105,scandens,14.9,9.4,1987
14645,scandens,14.9,9.4,1987
2433,scandens,14.34,9.42,1987
10268,scandens,14.53,9.43,1987
10245,scandens,14.65,9.45,1987
4706,scandens,14.8,9.5,1987
14918,scandens,16.0,9.5,1987
15694,scandens,13.14,9.51,1987
15421,scandens,14.44,9.51,1987
14208,scandens,12.73,9.52,1987
1396,scandens,15.04,9.54,1987
1444,scandens,14.85,9.55,1987
4051,scandens,14.2,9.6,1987
10061,scandens,15.2,9.6,1987
4701,scandens,16.0,9.6,1987
13257,scandens,14.47,9.62,1987
2949,scandens,14.54,9.64,1987
14946,scandens,14.9,9.65,1987
5656,scandens,14.9,9.7,1987
5608,scandens,15.8,9.7,1987
15352,scandens,13.46,9.73,1987
15817,scandens,14.77,9.73,1987
4119,scandens,14.44,9.74,1987
10223,scandens,15.2,9.8,1987
2969,scandens,16.0,9.8,1987
14648,scandens,14.4,9.82,1987
15658,scandens,14.45,9.85,1987
13256,scandens,15.35,9.85,1987
8425,scandens,14.2,9.9,1987
14524,scandens,15.3,9.9,1987
10075,scandens,14.27,9.94,1987
4137,scandens,15.8,10.0,1987
14847,scandens,15.3,10.1,1987
15886,scandens,11.24,10.11,1987
14877,scandens,15.2,10.27,1987
8036,scandens,15.44,10.34,1987
14579,scandens,14.96,11.33,1987
2639,fortis,10.3,8.95,1991
2666,fortis,12.81,9.3,1991
2753,fortis,10.89,10.35,1991
2776,fortis,11.3,10.0,1991
4229,fortis,10.05,8.62,1991
4677,fortis,11.02,10.17,1991
4715,fortis,10.4,8.7,1991
4899,fortis,10.87,9.7,1991
4911,fortis,11.0,9.7,1991
4936,fortis,10.0,9.05,1991
4946,fortis,11.42,10.27,1991
5026,fortis,10.9,9.8,1991
5110,fortis,14.07,12.37,1991
5370,fortis,12.73,10.88,1991
5505,fortis,11.4,9.8,1991
5555,fortis,9.04,8.42,1991
5578,fortis,9.8,7.65,1991
5586,fortis,10.2,9.67,1991
5602,fortis,10.83,8.74,1991
5625,fortis,10.94,9.86,1991
5626,fortis,11.1,8.89,1991
5669,fortis,10.4,8.9,1991
5685,fortis,9.8,8.55,1991
5721,fortis,11.1,8.9,1991
5731,fortis,10.8,10.3,1991
5821,fortis,12.32,10.62,1991
5826,fortis,10.55,9.2,1991
5860,fortis,11.55,10.05,1991
5872,fortis,11.8,8.8,1991
5887,fortis,10.18,8.4,1991
5904,fortis,11.1,10.5,1991
5905,fortis,11.86,10.43,1991
5921,fortis,11.2,9.87,1991
5927,fortis,10.7,9.2,1991
5960,fortis,11.4,10.15,1991
10081,fortis,10.9,9.5,1991
10100,fortis,10.93,8.45,1991
10102,fortis,10.98,9.08,1991
10181,fortis,11.1,10.5,1991
10213,fortis,10.7,9.2,1991
10305,fortis,11.82,9.9,1991
10376,fortis,9.28,7.68,1991
10679,fortis,10.9,10.0,1991
10826,fortis,11.2,9.4,1991
13269,fortis,9.4,8.7,1991
13300,fortis,11.06,10.09,1991
13351,fortis,10.0,8.35,1991
13385,fortis,11.2,8.87,1991
13486,fortis,9.98,9.07,1991
13543,fortis,10.3,8.1,1991
13575,fortis,11.0,8.93,1991
13595,fortis,11.4,10.17,1991
13644,fortis,10.5,9.5,1991
13687,fortis,10.67,8.77,1991
13704,fortis,10.67,9.47,1991
13837,fortis,11.58,9.72,1991
13945,fortis,10.43,9.74,1991
13975,fortis,11.0,9.9,1991
13994,fortis,10.18,8.64,1991
14003,fortis,11.8,10.32,1991
14041,fortis,10.0,9.2,1991
14062,fortis,10.7,9.2,1991
14100,fortis,10.6,9.2,1991
14117,fortis,10.6,10.0,1991
14258,fortis,10.76,8.91,1991
14347,fortis,10.63,9.12,1991
14442,fortis,11.53,11.38,1991
14468,fortis,11.83,10.34,1991
14478,fortis,10.9,8.95,1991
14492,fortis,11.2,9.6,1991
14518,fortis,10.72,9.17,1991
14533,fortis,11.1,8.92,1991
14612,fortis,9.27,7.95,1991
14613,fortis,9.1,7.0,1991
14620,fortis,10.7,9.85,1991
14624,fortis,11.85,10.85,1991
14625,fortis,11.84,10.52,1991
14633,fortis,11.29,9.78,1991
14655,fortis,11.33,10.29,1991
14656,fortis,11.9,10.17,1991
14660,fortis,11.14,9.92,1991
14672,fortis,10.54,9.12,1991
14674,fortis,10.5,9.8,1991
14676,fortis,11.0,9.57,1991
14678,fortis,11.5,9.6,1991
14681,fortis,9.94,8.96,1991
14684,fortis,10.7,8.9,1991
14686,fortis,10.74,8.31,1991
14687,fortis,11.5,9.5,1991
14689,fortis,11.2,9.96,1991
14692,fortis,11.25,9.15,1991
14694,fortis,10.8,8.7,1991
14705,fortis,10.5,9.4,1991
14706,fortis,11.5,10.9,1991
14710,fortis,11.65,9.65,1991
14720,fortis,12.0,9.52,1991
14722,fortis,12.15,9.47,1991
14723,fortis,12.0,9.1,1991
14741,fortis,11.04,9.06,1991
14745,fortis,11.5,10.0,1991
14752,fortis,11.9,10.0,1991
14762,fortis,10.3,8.5,1991
14763,fortis,10.19,8.81,1991
14777,fortis,11.6,10.2,1991
